Scraped At,Product Name,Selling Price,Original Price,Discount (shown),Discount % (calculated),Rating,Reviews,Product URL,Page
2026-03-02 00:05:36,Siyaram Grey Poly Viscose Unstitched Pant Pc,0.56,0.1199,53% Off,-367.06,,(40),https://www.snapdeal.com/product/kundan-suz-gwalior-multi-cotton/647528338414#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Kundan Sulz Gwalior Black Poly Viscose Unstitched Pant Pc,0.316,0.701,55% Off,54.92,,(4),https://www.snapdeal.com/product/raymond-grey-polyester-blend-mens/644362672735#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Raymond - Navy Cotton Blend Men's Unstitched Pant Piece ( Pack of 1 ),0.495,0.1399,65% Off,-253.82,,(34),https://www.snapdeal.com/product/kundan-sulz-gwalior-blue-poly/637076021513#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Brandline Multi Cotton Men's Unstitched Shirts & Trousers ( Pack of 1 ),0.582,0.1999,71% Off,-191.15,,(21),https://www.snapdeal.com/product/kundan-sulz-gwalior-black-poly/631353746413#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Raymond Blue Polyester Men's Unstitched Pant Piece ( Pack of 1 ),0.743,0.1499,50% Off,-395.66,,,https://www.snapdeal.com/product/raymond-blue-polyester-blend-mens/637402056812#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Makhanchor - Green Cotton Men's Unstitched Shirt Piece ( Pack of 1 ),0.328,0.999,67% Off,67.17,,(259),https://www.snapdeal.com/product/raymond-black-poly-blend-unstitched/669012338950#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Siyaram White Linen Blended Unstitched Pant Pc,0.656,0.1299,49% Off,-405.0,,(48),https://www.snapdeal.com/product/brandline-multi-cotton-mens-unstitched/620251350244#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Raymond - Black Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.779,0.2155,64% Off,-261.48,,(35),https://www.snapdeal.com/product/m-maharaja-beige-poly-blend/675766377655#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,BRANDLIFE Blue Cotton Blend Men's Unstitched Shirts & Trousers ( Pack of 1 ),0.682,0.2999,77% Off,-127.41,,(231),https://www.snapdeal.com/product/kundan-suz-gwalior-multi-cotton/622280998985#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Raymond Grey Polyester Men's Unstitched Pant Piece ( Pack of 1 ),0.551,0.1149,52% Off,-379.55,,(1),https://www.snapdeal.com/product/makhanchor-blue-100-percent-cotton/636694366919#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Kundan Sulz Gwalior Blue Poly Viscose Unstitched Pant Pc,0.377,0.799,53% Off,52.82,,(3),https://www.snapdeal.com/product/kundan-beige-poly-viscose-unstitched/649392136627#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Siyaram's Blue Poly Blend Unstitched Pant Pc,0.495,0.1299,62% Off,-281.06,,(53),https://www.snapdeal.com/product/makhanchor-white-linen-mens-unstitched/631047831728#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Raymond - Black Cotton Blend Men's Unstitched Pant Piece ( Pack of 1 ),0.48,0.823,42% Off,41.68,,(6),https://www.snapdeal.com/product/brandlife-blue-cotton-blend-mens/641055215195#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Kundan Sulz Gwalior Phone Colour Poly Viscose Unstitched Pant Piece,0.355,0.899,61% Off,60.51,,(198),https://www.snapdeal.com/product/kundan-suz-gwalior-multi-cotton/640141389550#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Raymond Multicolor Polyester Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.743,0.1999,63% Off,-271.69,,(3),https://www.snapdeal.com/product/maharaja-orange-cotton-blend-unstiched/619848445027#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Makhanchor White Linen Unstitched Shirt pc Single,0.479,0.1499,68% Off,-219.55,,(30),https://www.snapdeal.com/product/raymond-black-poly-blend-formals/650604854277#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Kundan Poly Blend Multi Color 2 Unstitched Paint Pcs,0.367,0.799,54% Off,54.07,,(1),https://www.snapdeal.com/product/shree-kundan-fabrics-black-poly/619461218571#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Makhanchor - White Linen Men's Unstitched Shirt Piece ( Pack of 1 ),0.404,0.1199,66% Off,-236.95,,(6),https://www.snapdeal.com/product/maharaja-black-poly-blend-unstitched/637874286470#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers,0.574,0.1399,59% Off,-310.29,,(85),https://www.snapdeal.com/product/raymond-white-cotton-formal-unstitched/648918367030#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Maharaja - Black Cotton Blend Men's Unstitched Pant Piece ( Pack of 1 ),0.729,0.2,64% Off,-264.5,,(19),https://www.snapdeal.com/product/kundan-sulz-gwalior-purple-cotton/650987336806#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Pink Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.799,59% Off,59.07,,(21),https://www.snapdeal.com/product/kundan-sulz-gwalior-black-poly/631353746413#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Makhanchor Blue 100 Percent Cotton Unstitched Shirt pc Single,0.328,0.499,34% Off,34.27,,(6),https://www.snapdeal.com/product/brandlife-blue-cotton-blend-mens/641055215195#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Raymond White 100 Percent Cotton Unstitched Shirt pc,0.661,0.1599,59% Off,-313.38,,(32),https://www.snapdeal.com/product/siyarams-blue-poly-blend-unstitched/674656343521#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirt pc,0.465,0.999,53% Off,53.45,,(116),https://www.snapdeal.com/product/raymond-brown-poly-viscose-unstitched/668467907429#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Maharaja Orange Cotton Blend Unstiched Kurta Pyjama,0.629,0.25,75% Off,-151.6,,(19),https://www.snapdeal.com/product/kundan-sulz-gwalior-purple-cotton/650987336806#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Gwalior - Black Cotton Blend Men's Unstitched Pant Piece ( Pack of 1 ),0.284,0.899,68% Off,68.41,,(48),https://www.snapdeal.com/product/vimal-black-poly-blend-unstitched/662159369311#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Off-White Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.799,59% Off,59.07,,(301),https://www.snapdeal.com/product/raymond-dark-blue-shade-classic/660520166877#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Maharaja - Brown Linen Men's Unstitched Kurta ( Pack of 1 ),0.679,0.25,73% Off,-171.6,,(35),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/628453609883#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Pant Pc,0.793,0.2899,73% Off,-173.54,,(49),https://www.snapdeal.com/product/brandline-multi-cotton-mens-unstitched/620251350244#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Raymond Grey Poly Viscose Unstitched Pant Pc,0.525,0.1499,65% Off,-250.23,,(2),https://www.snapdeal.com/product/raymond-light-blue-cotton-blend/685805149796#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Yellow Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.799,59% Off,59.07,,(231),https://www.snapdeal.com/product/kundan-suz-gwalior-multi-cotton/622280998985#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Raymond White Cotton Blend Unstitched Shirt pc,0.503,0.999,50% Off,49.65,,(25),https://www.snapdeal.com/product/raymond-white-cotton-blend-unstitched/665489132678#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers,0.547,0.1199,54% Off,-356.21,,(11),https://www.snapdeal.com/product/maharaja-multi-poly-viscose-unstitched/662871107968#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Gwalior Suitings White Poly Blend Unstitched Pant Pc,0.339,0.649,48% Off,47.77,,(141),https://www.snapdeal.com/product/kundan-sulz-gwalior-white-cotton/630651092447#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Blue Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.799,59% Off,59.07,,,https://www.snapdeal.com/product/brandlife-green-cotton-mens-unstitched/662384197597#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,Makhanchor White Linen Unstitched Shirt pc Single,0.479,0.699,31% Off,31.47,,,https://www.snapdeal.com/product/raymond-blue-polyester-blend-mens/637402056812#bcrumbSearch:men%20clothing,1
